ticker,price,prev_close,daily_chg_pct,ytd_pct,52w_high,52w_low,52w_high_pct,52w_low_pct,date
STOK,33.16,32.525,1.9523,,,,,,2026-04-01
STRO,25.445,24.82,2.5181,,,,,,2026-04-01
STTK,6.47,6.435,0.5439,,,,,,2026-04-01
STVN,13.98,13.81,1.231,,,,,,2026-04-01
SUPN,51.835,51.68,0.2999,,,,,,2026-04-01
SVRA,5.53,5.465,1.1894,,,,,,2026-04-01
SYRE,49.19,50.46,-2.5168,,,,,,2026-04-01
TAK,18.85,18.51,1.8368,,,,,,2026-04-01
TARA,5.145,5.2,-1.0577,,,,,,2026-04-01
TARS,70.085,70.07,0.0214,,,,,,2026-04-01
TBPH,16.425,16.24,1.1392,,,,,,2026-04-01
TECH,53.75,52.255,2.861,,,,,,2026-04-01
TECX,31.645,31.0,2.0806,,,,,,2026-04-01
TEM,46.81,45.21,3.539,,,,,,2026-04-01
TERN,52.775,52.74,0.0664,,,,,,2026-04-01
TEVA,30.36,30.11,0.8303,,,,,,2026-04-01
TGTX,33.7,33.195,1.5213,,,,,,2026-04-01
THAR,4.745,4.475,6.0335,,,,,,2026-04-01
TLRY,6.215,6.47,-3.9413,,,,,,2026-04-01
TLX,9.31,9.575,-2.7676,,,,,,2026-04-01
TNGX,21.18,20.93,1.1945,,,,,,2026-04-01
TNXP,14.275,13.76,3.7427,,,,,,2026-04-01
TNYA,0.714,0.6955,2.66,,,,,,2026-04-01
TRDA,12.825,12.635,1.5038,,,,,,2026-04-01
TRVI,12.155,11.93,1.886,,,,,,2026-04-01
TSHA,4.42,4.455,-0.7856,,,,,,2026-04-01
TVTX,30.385,29.7,2.3064,,,,,,2026-04-01
TWST,50.3,47.55,5.7834,,,,,,2026-04-01
TXG,22.79,21.22,7.3987,,,,,,2026-04-01
TYRA,39.395,38.31,2.8322,,,,,,2026-04-01
UNCY,6.96,6.575,5.8555,,,,,,2026-04-01
UPB,9.205,8.97,2.6198,,,,,,2026-04-01
URGN,18.315,17.98,1.8632,,,,,,2026-04-01
USNA,17.65,17.435,1.2332,,,,,,2026-04-01
UTHR,587.18,592.79,-0.9464,,,,,,2026-04-01
VACH,14.09,10.38,35.7418,,,,,,2026-04-01
VCEL,32.53,32.18,1.0876,-9.5384,45.76,29.02,-28.9117,12.0951,2026-04-01
VCYT,33.145,32.19,2.9668,,50.645,22.65,-34.5543,46.3355,2026-04-01
VERA,42.1,40.185,4.7655,,,,,,2026-04-01
VIR,8.94,8.95,-0.1117,,,,,,2026-04-01
VKTX,33.52,32.54,3.0117,,,,,,2026-04-01
VNDA,7.09,6.91,2.6049,,,,,,2026-04-01
