ticker,company_name,exchange,gics_sub_industry,gics_name,market_cap,addv_usd,mcap_tier,in_xbi,in_ibb,source,universe_date
ABOS,"Acumen Pharmaceuticals, Inc.",NASDAQ,35201010,Biotechnology,201103760.0,2033142.9563389143,micro_cap,False,False,EDGAR,2026-03-19
ELTX,"Elicio Therapeutics, Inc.",NASDAQ,35202010,Pharmaceuticals,200718128.0,1728810.9486529669,micro_cap,False,False,EDGAR,2026-03-19
ACB,Aurora Cannabis Inc.,NASDAQ,35202010,Pharmaceuticals,199333632.0,2934000.1782484055,micro_cap,False,False,EDGAR,2026-03-19
THAR,"Tharimmune, Inc.",NASDAQ,35202010,Pharmaceuticals,187371472.0,3008819.062466582,micro_cap,False,False,EDGAR,2026-03-19
SABS,"SAB Biotherapeutics, Inc.",NASDAQ,35201010,Biotechnology,179477824.0,2515588.296428919,micro_cap,False,False,EDGAR,2026-03-19
RNAC,"Cartesian Therapeutics, Inc.",NASDAQ,35202010,Pharmaceuticals,178904816.0,1897994.456999588,micro_cap,False,False,EDGAR,2026-03-19
NKTX,"Nkarta, Inc.",NASDAQ,35202010,Pharmaceuticals,177218624.0,1646921.3402810653,micro_cap,False,False,EDGAR,2026-03-19
CNTN,"Canton Strategic Holdings, Inc.",NASDAQ,35202010,Pharmaceuticals,176896064.0,3372640.2766756695,micro_cap,False,False,EDGAR,2026-03-19
HRTX,"Heron Therapeutics, Inc.",NASDAQ,35202010,Pharmaceuticals,176046368.0,2058023.1885709306,micro_cap,False,False,EDGAR,2026-03-19
TNXP,Tonix Pharmaceuticals Holding C,NASDAQ,35202010,Pharmaceuticals,171615904.0,4778306.864025688,micro_cap,False,False,EDGAR,2026-03-19
KPTI,Karyopharm Therapeutics Inc.,NASDAQ,35202010,Pharmaceuticals,160693168.0,6395849.471552086,micro_cap,False,False,EDGAR,2026-03-19
RANI,"Rani Therapeutics Holdings, Inc",NASDAQ,35202010,Pharmaceuticals,158825968.0,1165264.9973876,micro_cap,False,False,EDGAR,2026-03-19
FATE,"Fate Therapeutics, Inc.",NASDAQ,35201010,Biotechnology,155211712.0,2098219.7944882554,micro_cap,False,False,EDGAR,2026-03-19
IMUX,"Immunic, Inc.",NASDAQ,35202010,Pharmaceuticals,150355904.0,5375342.141242365,micro_cap,False,False,EDGAR,2026-03-19
ZNTL,"Zentalis Pharmaceuticals, Inc.",NASDAQ,35202010,Pharmaceuticals,148603040.0,1674279.4371726115,micro_cap,False,False,EDGAR,2026-03-19
MGNX,"MacroGenics, Inc.",NASDAQ,35202010,Pharmaceuticals,142015392.0,3545895.0909579275,micro_cap,False,False,EDGAR,2026-03-19
UNCY,"Unicycive Therapeutics, Inc.",NASDAQ,35202010,Pharmaceuticals,141735760.0,3184979.8867727914,micro_cap,False,False,EDGAR,2026-03-19
CRBP,Corbus Pharmaceuticals Holdings,NASDAQ,35202010,Pharmaceuticals,140950880.0,1702202.4568232854,micro_cap,False,False,EDGAR,2026-03-19
SGMO,"Sangamo Therapeutics, Inc.",NASDAQ,35201010,Biotechnology,140348176.0,2144833.187599452,micro_cap,False,False,EDGAR,2026-03-19
VTVT,vTv Therapeutics Inc.,NASDAQ,35202010,Pharmaceuticals,139642112.0,1854620.4677752177,micro_cap,False,False,EDGAR,2026-03-19
OVID,Ovid Therapeutics Inc.,NASDAQ,35202010,Pharmaceuticals,136371648.0,5888774.317152977,micro_cap,False,False,EDGAR,2026-03-19
MIST,Milestone Pharmaceuticals Inc.,NASDAQ,35202010,Pharmaceuticals,134993408.0,2510152.8674096586,micro_cap,False,False,EDGAR,2026-03-19
CRDF,"Cardiff Oncology, Inc.",NASDAQ,35201010,Biotechnology,129209800.0,1322729.4308613937,micro_cap,False,False,EDGAR,2026-03-19
INO,"Inovio Pharmaceuticals, Inc.",NASDAQ,35202010,Pharmaceuticals,120574424.0,1480724.351838847,micro_cap,False,False,EDGAR,2026-03-19
GANX,"Gain Therapeutics, Inc.",NASDAQ,35202010,Pharmaceuticals,117501672.0,1923180.1957731484,micro_cap,False,False,EDGAR,2026-03-19
ONCY,Oncolytics Biotech Inc.,NASDAQ,35202010,Pharmaceuticals,116214888.0,1554890.3094765185,micro_cap,False,False,EDGAR,2026-03-19
DTIL,"Precision BioSciences, Inc.",NASDAQ,35201010,Biotechnology,110970776.0,1477377.2825371742,micro_cap,False,False,EDGAR,2026-03-19
EQ,"Equillium, Inc.",NASDAQ,35202010,Pharmaceuticals,107781112.0,1116367.027451229,micro_cap,False,False,EDGAR,2026-03-19
AGEN,Agenus Inc.,NASDAQ,35201010,Biotechnology,106979376.0,1616631.4788671494,micro_cap,False,False,EDGAR,2026-03-19
KRRO,"Korro Bio, Inc.",NASDAQ,35202010,Pharmaceuticals,105191184.0,2632062.602454758,micro_cap,False,False,EDGAR,2026-03-19
FBIO,"Fortress Biotech, Inc.",NASDAQ,35202010,Pharmaceuticals,103045952.0,3408353.3293727715,micro_cap,False,False,EDGAR,2026-03-19
